,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
6982,"use, computer, laptop, office use",CH,h,0,electronics,services,0.43,0.015372,35.7,0.019552,,
6988,"use, computer, laptop, office use",RER,h,0,electronics,services,0.15,0.0080391,53.6,0.010545,,
7031,"use, computer, laptop, standby/sleep mode",CH,h,0,electronics,services,0.12,0.005315,44.3,0.0076889,,
7045,"use, computer, laptop, standby/sleep mode",RER,h,0,electronics,services,0.13,0.0070727,54.4,0.009526,,
6983,"use, printer, laser jet, b/w, per kg printed paper",CH,kg,0,electronics,services,3.88,0.17086,44,0.18642,,
6989,"use, printer, laser jet, b/w, per kg printed paper",RER,kg,0,electronics,services,4.11,0.20469,49.8,0.22179,,
7033,"use, printer, laser jet, b/w, printing per h",CH,h,0,electronics,services,7.58,0.34886,46,0.37479,,
7047,"use, printer, laser jet, b/w, printing per h",RER,h,0,electronics,services,7.7,0.36652,47.6,0.39326,,
6984,"use, printer, laser jet, colour, per kg printed paper",CH,kg,0,electronics,services,5.49,0.18222,33.2,0.20008,,
6990,"use, printer, laser jet, colour, per kg printed paper",RER,kg,0,electronics,services,6.24,0.29208,46.8,0.3149,,
7034,"use, printer, laser jet, colour, printing per h",CH,h,0,electronics,services,2.6,0.11103,42.7,0.11968,,
7048,"use, printer, laser jet, colour, printing per h",RER,h,0,electronics,services,2.72,0.12869,47.3,0.13815,,
6580,"sugar, from sugar beet, at sugar refinery",CH,kg,0,food industry,processing,6.31,0.28079,44.5,0.54874,,
6581,"sugar, from sugarcane, at sugar refinery",BR,kg,0,food industry,processing,2,0.10546,52.7,0.1905,,
803,"anti-reflex-coating, etching, solar glass",DK,m2,0,glass,construction,22.52,1.3636,60.6,1.4868,,
805,"flat glass, coated, at plant",RER,kg,0,glass,construction,14.7,0.62552,42.6,0.66516,,
806,"flat glass, uncoated, at plant",RER,kg,0,glass,construction,12.58,0.51811,41.2,0.55095,,
808,"glass fibre, at plant",RER,kg,0,glass,construction,44.74,2.4144,54,2.6371,,
810,"glass tube, borosilicate, at plant",DE,kg,0,glass,construction,40.05,2.3266,58.1,2.4572,,
811,"solar collector glass tube, with silver mirror, at plant",DE,kg,0,glass,construction,118.16,6.195,52.4,6.5451,,
812,"solar glass, low-iron, at regional storage",RER,kg,0,glass,construction,14.38,0.62548,43.5,0.66236,,
813,"tempering, flat glass",RER,kg,0,glass,construction,3.54,0.17151,48.4,0.18176,,
816,"glass, cullets, sorted, at sorting plant",RER,kg,0,glass,packaging,0.6,0.042005,70,0.043716,,
817,"glass, from public collection, unsorted",RER,kg,0,glass,packaging,0.46,0.025588,55.6,0.026867,,
818,"packaging glass, brown, at plant",CH,kg,0,glass,packaging,11.89,0.6518,54.8,0.69874,,
819,"packaging glass, brown, at plant",DE,kg,0,glass,packaging,9.4,0.57234,60.9,0.60494,,
820,"packaging glass, brown, at plant",RER,kg,0,glass,packaging,15.34,0.85135,55.5,0.9014,,
821,"packaging glass, brown, at regional storage",CH,kg,0,glass,packaging,13.19,0.7327,55.5,0.78079,,
822,"packaging glass, green, at plant",CH,kg,0,glass,packaging,9.46,0.51121,54,0.54881,,
823,"packaging glass, green, at plant",DE,kg,0,glass,packaging,8.77,0.51763,59,0.54768,,
824,"packaging glass, green, at plant",RER,kg,0,glass,packaging,15.07,0.83042,55.1,0.87908,,
825,"packaging glass, green, at regional storage",CH,kg,0,glass,packaging,11.49,0.63107,54.9,0.67254,,
826,"packaging glass, white, at plant",CH,kg,0,glass,packaging,9.93,0.5408,54.5,0.58037,,
827,"packaging glass, white, at plant",DE,kg,0,glass,packaging,9.48,0.59098,62.3,0.62339,,
828,"packaging glass, white, at plant",RER,kg,0,glass,packaging,15.26,0.84531,55.4,0.89498,,
829,"packaging glass, white, at regional storage",CH,kg,0,glass,packaging,11.92,0.66232,55.6,0.70558,,
5892,"benzene, at coke plant",DE,kg,0,hard coal,fuels,55.4,0.37661,6.8,0.72167,,
5893,"benzene, at coke plant",GLO,kg,0,hard coal,fuels,55.41,0.47765,8.6,0.94725,,
5888,"coke oven gas, at plant",DE,MJ,0,hard coal,fuels,1.38,0.0093566,6.8,0.017929,,
5889,"coke oven gas, at plant",GLO,MJ,0,hard coal,fuels,1.38,0.011867,8.6,0.023534,,
831,"hard coal briquettes, at plant",RER,MJ,0,hard coal,fuels,1.04,0.0054242,5.2,0.011266,,
832,"hard coal coke, at plant",RER,MJ,0,hard coal,fuels,1.39,0.0094793,6.8,0.018165,,
833,"hard coal coke, at plant",GLO,MJ,0,hard coal,fuels,1.39,0.012023,8.6,0.023842,,
834,"hard coal mix, at regional storage",UCTE,kg,0,hard coal,fuels,28.59,0.10827,3.8,0.28641,,
835,"hard coal, at regional storage",WEU,kg,0,hard coal,fuels,31,0.045037,1.5,0.36057,,
5890,"tar, at coke plant",DE,kg,0,hard coal,fuels,51.5,0.35006,6.8,0.67078,,
5891,"tar, at coke plant",GLO,kg,0,hard coal,fuels,51.5,0.44397,8.6,0.88046,,
844,"anthracite, burned in stove 5-15kW",RER,MJ,0,hard coal,heating systems,0.89,0.083811,94.2,0.10651,,
846,"hard coal briquette, burned in stove 5-15kW",RER,MJ,0,hard coal,heating systems,1.06,0.089523,84.5,0.11065,,
847,"hard coal coke, burned in stove 5-15kW",RER,MJ,0,hard coal,heating systems,1.42,0.10621,74.8,0.12363,,
848,"hard coal, burned in industrial furnace 1-10MW",RER,MJ,0,hard coal,heating systems,1.04,0.097509,93.8,0.10448,,
849,"heat, anthracite, at stove 5-15kW",RER,MJ,0,hard coal,heating systems,1.28,0.11985,93.6,0.1523,,
850,"heat, at hard coal industrial furnace 1-10MW",RER,MJ,0,hard coal,heating systems,1.3,0.12189,93.8,0.1306,,
851,"heat, hard coal briquette, at stove 5-15kW",RER,MJ,0,hard coal,heating systems,1.52,0.12802,84.2,0.15823,,
852,"heat, hard coal coke, at stove 5-15kW",RER,MJ,0,hard coal,heating systems,2.03,0.15188,74.8,0.17679,,
882,"NOx retained, in SCR",GLO,kg,0,hard coal,power plants,14.89,0.71396,47.9,0.75529,,
883,"SOx retained, in hard coal flue gas desulphurisation",RER,kg,0,hard coal,power plants,2.25,0.79825,354.8,0.83535,,
11088,"electricity, hard coal, at coal mine power plant",CN,kWh,0,hard coal,power plants,38.79,3.4322,88.5,4.0593,,
854,"electricity, hard coal, at power plant",AT,kWh,0,hard coal,power plants,11.49,0.88671,77.2,0.97594,,
855,"electricity, hard coal, at power plant",BE,kWh,0,hard coal,power plants,12.13,1.0357,85.4,1.079,,
856,"electricity, hard coal, at power plant",ES,kWh,0,hard coal,power plants,12.33,1.0162,82.4,1.0951,,
857,"electricity, hard coal, at power plant",FR,kWh,0,hard coal,power plants,12.38,1.0358,83.7,1.0707,,
858,"electricity, hard coal, at power plant",IT,kWh,0,hard coal,power plants,11.65,0.98657,84.7,1.0279,,
859,"electricity, hard coal, at power plant",NL,kWh,0,hard coal,power plants,12.39,1.0354,83.6,1.0813,,
860,"electricity, hard coal, at power plant",PT,kWh,0,hard coal,power plants,11.2,0.96436,86.1,0.98658,,
861,"electricity, hard coal, at power plant",UCTE,kWh,0,hard coal,power plants,12.38,0.99012,80,1.0728,,
862,"electricity, hard coal, at power plant",DE,kWh,0,hard coal,power plants,12.71,0.96852,76.2,1.0847,,
863,"electricity, hard coal, at power plant",NORDEL,kWh,0,hard coal,power plants,11.37,0.85394,75.1,0.95732,,
864,"electricity, hard coal, at power plant",CZ,kWh,0,hard coal,power plants,15.39,1.1802,76.7,1.2891,,
865,"electricity, hard coal, at power plant",HR,kWh,0,hard coal,power plants,13.04,1.0005,76.7,1.0933,,
866,"electricity, hard coal, at power plant",PL,kWh,0,hard coal,power plants,13.68,1.0465,76.5,1.1432,,
867,"electricity, hard coal, at power plant",SK,kWh,0,hard coal,power plants,11.79,0.92109,78.1,1.0108,,
6070,"electricity, hard coal, at power plant",CENTREL,kWh,0,hard coal,power plants,13.71,1.0499,76.6,1.147,,
7309,"electricity, hard coal, at power plant",US,kWh,0,hard coal,power plants,12.73,1.1441,89.9,1.1875,,
11054,"electricity, hard coal, at power plant",ERCOT,kWh,0,hard coal,power plants,15.78,1.1914,75.5,1.2436,,
11055,"electricity, hard coal, at power plant",FRCC,kWh,0,hard coal,power plants,9.5,0.96289,101.4,0.99616,,
11056,"electricity, hard coal, at power plant",MRO,kWh,0,hard coal,power plants,18.59,1.4107,75.9,1.4722,,
11057,"electricity, hard coal, at power plant",NPCC,kWh,0,hard coal,power plants,11.01,1.102,100.1,1.1405,,
11058,"electricity, hard coal, at power plant",RFC,kWh,0,hard coal,power plants,10.69,1.0872,101.7,1.1246,,
11059,"electricity, hard coal, at power plant",SERC,kWh,0,hard coal,power plants,12.5,1.1129,89,1.1554,,
11060,"electricity, hard coal, at power plant",SPP,kWh,0,hard coal,power plants,15.05,1.3645,90.7,1.416,,
11061,"electricity, hard coal, at power plant",WECC,kWh,0,hard coal,power plants,15.63,1.1882,76,1.2399,,
11087,"electricity, hard coal, at power plant",CN,kWh,0,hard coal,power plants,12.1,1.1962,98.9,1.3933,,
11090,"hard coal, burned in coal mine power plant",CN,MJ,0,hard coal,power plants,1.38,0.12171,88.2,0.14395,,
869,"hard coal, burned in power plant",AT,MJ,0,hard coal,power plants,1.29,0.099518,77.1,0.10953,,
870,"hard coal, burned in power plant",BE,MJ,0,hard coal,power plants,1.21,0.10357,85.6,0.1079,,
871,"hard coal, burned in power plant",ES,MJ,0,hard coal,power plants,1.23,0.10162,82.6,0.10951,,
872,"hard coal, burned in power plant",FR,MJ,0,hard coal,power plants,1.21,0.10155,83.9,0.10498,,
873,"hard coal, burned in power plant",IT,MJ,0,hard coal,power plants,1.21,0.10223,84.5,0.10652,,
874,"hard coal, burned in power plant",NL,MJ,0,hard coal,power plants,1.21,0.10151,83.9,0.10601,,
875,"hard coal, burned in power plant",PT,MJ,0,hard coal,power plants,1.17,0.10045,85.9,0.10277,,
876,"hard coal, burned in power plant",DE,MJ,0,hard coal,power plants,1.27,0.096852,76.3,0.10847,,
877,"hard coal, burned in power plant",CZ,MJ,0,hard coal,power plants,1.26,0.096738,76.8,0.10566,,
878,"hard coal, burned in power plant",HR,MJ,0,hard coal,power plants,1.28,0.098089,76.6,0.10719,,
879,"hard coal, burned in power plant",PL,MJ,0,hard coal,power plants,1.27,0.0969,76.3,0.10585,,
880,"hard coal, burned in power plant",SK,MJ,0,hard coal,power plants,1.26,0.098198,77.9,0.10777,,
881,"hard coal, burned in power plant",NORDEL,MJ,0,hard coal,power plants,1.31,0.098608,75.3,0.11055,,
11062,"hard coal, burned in power plant",ERCOT,MJ,0,hard coal,power plants,1.35,0.10183,75.4,0.10629,,
11063,"hard coal, burned in power plant",FRCC,MJ,0,hard coal,power plants,0.99,0.1003,101.3,0.10377,,
11064,"hard coal, burned in power plant",MRO,MJ,0,hard coal,power plants,1.35,0.10222,75.7,0.10668,,
11065,"hard coal, burned in power plant",NPCC,MJ,0,hard coal,power plants,0.99,0.099279,100.3,0.10275,,
11066,"hard coal, burned in power plant",RFC,MJ,0,hard coal,power plants,0.99,0.10067,101.7,0.10413,,
11067,"hard coal, burned in power plant",SERC,MJ,0,hard coal,power plants,1.14,0.10117,88.7,0.10503,,
11068,"hard coal, burned in power plant",SPP,MJ,0,hard coal,power plants,1.11,0.10107,91.1,0.10489,,
11069,"hard coal, burned in power plant",WECC,MJ,0,hard coal,power plants,1.35,0.10243,75.9,0.10689,,
11089,"hard coal, burned in power plant",CN,MJ,0,hard coal,power plants,1.2,0.11844,98.7,0.13795,,
886,hard coal supply mix,AT,kg,0,hard coal,production,28.4,0.10483,3.7,0.29955,,
887,hard coal supply mix,BE,kg,0,hard coal,production,29.12,0.20412,7,0.29847,,
889,hard coal supply mix,DE,kg,0,hard coal,production,30.26,0.090541,3,0.33901,,
890,hard coal supply mix,ES,kg,0,hard coal,production,28.98,0.12335,4.3,0.30237,,
891,hard coal supply mix,FR,kg,0,hard coal,production,28.51,0.19481,6.8,0.2708,,
892,hard coal supply mix,IT,kg,0,hard coal,production,27.9,0.17475,6.3,0.25775,,
893,hard coal supply mix,NL,kg,0,hard coal,production,27.91,0.17902,6.4,0.25944,,
894,hard coal supply mix,PT,kg,0,hard coal,production,27.36,0.14675,5.4,0.19656,,
895,hard coal supply mix,CZ,kg,0,hard coal,production,27.74,0.068841,2.5,0.26141,,
896,hard coal supply mix,HR,kg,0,hard coal,production,28.15,0.1026,3.6,0.29924,,
897,hard coal supply mix,PL,kg,0,hard coal,production,27.79,0.071299,2.6,0.26398,,
898,hard coal supply mix,SK,kg,0,hard coal,production,27.78,0.10581,3.8,0.30685,,
11094,hard coal supply mix,CN,kg,0,hard coal,production,26.31,0.51141,19.4,0.93773,,
11072,"hard coal supply mix, at regional storage",US,kg,0,hard coal,production,26.99,0.088493,3.3,0.16345,,
901,"hard coal, at mine",AU,kg,0,hard coal,production,26.96,0.0248,0.9,0.090916,,
902,"hard coal, at mine",RNA,kg,0,hard coal,production,26.02,0.026285,1,0.098782,,
903,"hard coal, at mine",EEU,kg,0,hard coal,production,27.22,0.042161,1.5,0.23335,,
904,"hard coal, at mine",ZA,kg,0,hard coal,production,25.42,0.023639,0.9,0.1078,,
905,"hard coal, at mine",RLA,kg,0,hard coal,production,24.27,0.021794,0.9,0.029971,,
906,"hard coal, at mine",WEU,kg,0,hard coal,production,30.83,0.036658,1.2,0.35175,,
907,"hard coal, at mine",RU,kg,0,hard coal,production,25.31,0.063725,2.5,0.28005,,
908,"hard coal, at mine",CPA,kg,0,hard coal,production,22.08,0.02566,1.2,0.096497,,
11092,"hard coal, at mine",CN,kg,0,hard coal,production,25.04,0.45632,18.2,0.86551,,
909,"hard coal, at regional storage",AU,kg,0,hard coal,production,27.18,0.035915,1.3,0.10261,,
910,"hard coal, at regional storage",EEU,kg,0,hard coal,production,27.62,0.062459,2.3,0.2547,,
911,"hard coal, at regional storage",RLA,kg,0,hard coal,production,24.49,0.032679,1.3,0.041421,,
912,"hard coal, at regional storage",RNA,kg,0,hard coal,production,26.68,0.06064,2.3,0.13491,,
913,"hard coal, at regional storage",ZA,kg,0,hard coal,production,25.91,0.049035,1.9,0.13451,,
914,"hard coal, at regional storage",RU,kg,0,hard coal,production,25.74,0.086122,3.3,0.30361,,
915,"hard coal, at regional storage",CPA,kg,0,hard coal,production,22.3,0.036774,1.6,0.10819,,
6011,"heat, air-water heat pump 10kW, at heat radiator",RER,MJ,0,heat pumps,heating systems,1.28,0.060731,47.4,0.071375,,
6015,"heat, air-water heat pump 10kW, at heat radiator",CH,MJ,0,heat pumps,heating systems,0.97,0.01496,15.4,0.023537,,
6009,"heat, at air-water heat pump 10kW",RER,MJ,0,heat pumps,heating systems,1.2,0.056216,46.8,0.066147,,
6013,"heat, at air-water heat pump 10kW",CH,MJ,0,heat pumps,heating systems,0.9,0.012624,14,0.020587,,
919,"heat, at heat pump 30kW, allocation electricity",CH,MJ,0,heat pumps,heating systems,1,0.052932,52.9,0.06039,,
920,"heat, at heat pump 30kW, allocation energy",CH,MJ,0,heat pumps,heating systems,0.36,0.019111,53.1,0.022205,,
921,"heat, at heat pump 30kW, allocation exergy",CH,MJ,0,heat pumps,heating systems,0.76,0.040249,53,0.046071,,
922,"heat, at heat pump 30kW, allocation heat",CH,MJ,0,heat pumps,heating systems,0,8.6231e-05,#DIV/0!,0.00072592,,
923,"heat, at heat pump 30kW, allocation price",CH,MJ,0,heat pumps,heating systems,0.65,0.034436,53,0.039508,,
6935,"heat, biogas, at diffusion absorption heat pump 4kW, future",CH,MJ,0,heat pumps,heating systems,0.38,0.012198,32.1,0.030735,,
918,"heat, borehole heat exchanger, at brine-water heat pump 10kW",RER,MJ,0,heat pumps,heating systems,0.87,0.041052,47.2,0.047588,,
6012,"heat, borehole heat exchanger, at brine-water heat pump 10kW",CH,MJ,0,heat pumps,heating systems,0.66,0.0097651,14.8,0.014888,,
6010,"heat, borehole heat exchanger, brine-water heat pump 10kW, at heat radiator",RER,MJ,0,heat pumps,heating systems,0.94,0.04481,47.7,0.051888,,
6014,"heat, borehole heat exchanger, brine-water heat pump 10kW, at heat radiator",CH,MJ,0,heat pumps,heating systems,0.72,0.011958,16.6,0.017553,,
6934,"heat, natural gas, at diffusion absorption heat pump 4kW, future",CH,MJ,0,heat pumps,heating systems,0.98,0.049826,50.8,0.055364,,
928,"electricity, hydropower, at power plant",CH,kWh,0,hydro power,power plants,0.04,0.0034069,85.2,0.0037393,,
929,"electricity, hydropower, at power plant",AT,kWh,0,hydro power,power plants,0.04,0.0034448,86.1,0.0036802,,
930,"electricity, hydropower, at power plant",BE,kWh,0,hydro power,power plants,0.04,0.0031956,79.9,0.0033345,,
931,"electricity, hydropower, at power plant",ES,kWh,0,hydro power,power plants,0.04,0.0035345,88.4,0.0059239,,
932,"electricity, hydropower, at power plant",CS,kWh,0,hydro power,power plants,0.04,0.003365,84.1,0.0046292,,
933,"electricity, hydropower, at power plant",FR,kWh,0,hydro power,power plants,0.04,0.003365,84.1,0.0035696,,
934,"electricity, hydropower, at power plant",GR,kWh,0,hydro power,power plants,0.05,0.0041924,83.8,0.01095,,
935,"electricity, hydropower, at power plant",IT,kWh,0,hydro power,power plants,0.04,0.0038335,95.8,0.0042194,,
936,"electricity, hydropower, at power plant",LU,kWh,0,hydro power,power plants,0.04,0.0031956,79.9,0.0033345,,
937,"electricity, hydropower, at power plant",NL,kWh,0,hydro power,power plants,0.04,0.0031956,79.9,0.0033345,,
938,"electricity, hydropower, at power plant",PT,kWh,0,hydro power,power plants,0.04,0.0038441,96.1,0.0061812,,
939,"electricity, hydropower, at power plant",DE,kWh,0,hydro power,power plants,0.04,0.0033551,83.9,0.0045531,,
940,"electricity, hydropower, at power plant",BA,kWh,0,hydro power,power plants,0.04,0.0035444,88.6,0.0060001,,
941,"electricity, hydropower, at power plant",HR,kWh,0,hydro power,power plants,0.05,0.0041724,83.4,0.010798,,
942,"electricity, hydropower, at power plant",MK,kWh,0,hydro power,power plants,0.04,0.004013,100.3,0.0095795,,
943,"electricity, hydropower, at power plant",SI,kWh,0,hydro power,power plants,0.04,0.0031956,79.9,0.0033345,,
944,"electricity, hydropower, at power plant",CZ,kWh,0,hydro power,power plants,0.04,0.0034448,86.1,0.0052385,,
945,"electricity, hydropower, at power plant",HU,kWh,0,hydro power,power plants,0.04,0.0031956,79.9,0.0033345,,
946,"electricity, hydropower, at power plant",PL,kWh,0,hydro power,power plants,0.04,0.0031956,79.9,0.0033345,,
947,"electricity, hydropower, at power plant",SK,kWh,0,hydro power,power plants,0.04,0.0034448,86.1,0.0052385,,
948,"electricity, hydropower, at power plant",DK,kWh,0,hydro power,power plants,0.04,0.0031956,79.9,0.0033345,,
949,"electricity, hydropower, at power plant",FI,kWh,0,hydro power,power plants,0.04,0.0039432,98.6,0.02878,,
950,"electricity, hydropower, at power plant",NO,kWh,0,hydro power,power plants,0.05,0.0041924,83.8,0.0047171,,
951,"electricity, hydropower, at power plant",SE,kWh,0,hydro power,power plants,0.04,0.0033949,84.9,0.0048577,,
952,"electricity, hydropower, at power plant",GB,kWh,0,hydro power,power plants,0.04,0.0031956,79.9,0.0033345,,
